
name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage


#CHEYTAC FIRE SOUNDS

weap_cheytac_fire_plr,,weapons/CHEYTAC/fire.wav,0.7,0.8,max,0.9,1,500000,,local,,,,0.85,,,,,weapon2,,,,0.3
weap_cheytac_fire_npc,,weapons/CHEYTAC/fire_distant.wav,0.6,0.7,max,1,1.1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4
weap_cheytac_sd_fire_plr,,weapons/CHEYTAC/fire_sd.wav,0.5,0.6,max,0.9,1,500000,,local,,,,0.85,,,,,weapon2,,,,0.3
weap_cheytac_sd_fire_npc,,weapons/CHEYTAC/fire_sd_distant.wav,0.3,0.6,max,1,1.1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

#CHEYTAC RELOAD SOUNDS

weap_cheytac_clipout_plr,,weapons/CHEYTAC/clipout.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200
weap_cheytac_clipin_plr,,weapons/CHEYTAC/clipin.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200
weap_cheytac_lift_plr,,weapons/CHEYTAC/lift.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200
weap_cheytac_bolt_unlock_plr,,weapons/CHEYTAC/unlock.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200
weap_cheytac_bolt_open_plr,,weapons/CHEYTAC/open.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200
weap_cheytac_bolt_close_plr,,weapons/CHEYTAC/close.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200
weap_cheytac_bolt_lock_plr,,weapons/CHEYTAC/lock.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,200

weap_cheytac_reload_npc,,weapons/CHEYTAC/clipout.wav,1,0.5,wpnai,1,1,7,500,reload,,,,0.7,all_mp,,,weap_cheytac_clipin_npc,weapon2,50
weap_cheytac_clipin_npc,,weapons/CHEYTAC/clipin.wav,1,0.5,wpnai,1,1,7,500,auto,,,,0.7,all_mp,,,,weapon2,600


