(471.554, 246.286, 16.125)
(497.66, 574.367, 16.125)
(578.438, 908.093, 16.125)
(471.521, 371.497, 16.125)
(556.19, 900.2, 16.125)
(629.088, 1321.7, 16.125)
(777.707, 1710.46, 16.125)
(1438.07, 1642.32, 16.125)
(1899.54, 1733.22, 16.125)
(2437.12, 1746.57, 16.125)
(2687.91, 1827.58, 16.125)
(2730.69, 2264.73, 16.125)
(3028.94, 2495.44, 16.125)
(3500.02, 2658.13, 16.125)
(3956.35, 2637.79, 16.125)
(4370.4, 2671.76, 16.125)
(4699.15, 2811.27, 16.125)
(4791.37, 3100.29, 36.125)
(4667.95, 3127.75, 88.125)
(4431.13, 3139.19, 128.125)
(4164.67, 3142, 128.125)
(3747.06, 3171.58, 32.125)
(3510.12, 3142.54, 32.125)
